name,type,category,power,accuracy,pp,description,move_page_desc,makes_contact,introduced,priority
Shadow Punch,Ghost,Physical,60,∞,20,Ignores Accuracy and Evasiveness.,"Shadow Punchdeals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage ofBounce,Dig,Dive,Fly,Phantom Force,Shadow ForceorSky Drop.",Yes,3,0
Shadow Sneak,Ghost,Physical,40,100,30,User attacks first.,Shadow Sneakdeals damage and has a priority of +1.,Yes,4,1
Sharpen,Normal,Status,0,0,30,Raises user's Attack.,Sharpenraises the user's Attack by one stage.,No,1,0
Shattered Psyche,Psychic,0,0,0,1,Psychic type Z-Move.,"Shattered Psycheis the Psychic type Z-Move, introduced in Pokémon Sun/Moon.",No,7,0
Shed Tail,Normal,Status,0,0,10,"Creates a substitute, then swaps places with a party Pokémon in waiting.","Creates a substitute, then swaps places with a party Pokémon in waiting.",No,9,0
Sheer Cold,Ice,Special,0,30,5,"One-Hit-KO, if it hits.","If it hits,Sheer Coldis guaranteed to make the opponent faint. Its accuracy increases if the user is a higher level than the target Pokémon, but fails if the target is higher level or is Ice type.",No,3,0
Shell Side Arm,Poison,Special,90,100,10,"May poison opponent. Inflicts either Special or Physical damage, whichever is better.","May poison opponent. Inflicts either Special or Physical damage, whichever is better.",No,8,0
Shell Smash,Normal,Status,0,0,15,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.","Shell Smashlowers the user's Defense and Special Defense by one stage each, while also raising Attack, Special Attack and Speed by two stages each.",No,5,0
Shell Trap,Fire,Special,150,100,5,Deals more damage to opponent if hit by a Physical move.,"Shell Trapsets a trap at the beginning of the turn, and if the user is hit by a physical move during the turn, it deals high damage to the opponent.",No,7,-3
Shelter,Steel,Status,0,0,10,Raises user's Defense.,Shelterraises the user's Defense by two stages.,No,8,0
Shift Gear,Steel,Status,0,0,10,Raises user's Attack and sharply raises Speed.,Shift Gearraises the user's Attack by one stage and Speed by two stages.,No,5,0
Shock Wave,Electric,Special,60,∞,20,Ignores Accuracy and Evasiveness.,"Shock Wavedeals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage ofBounce,Dig,Dive,Fly,Phantom Force,Shadow ForceorSky Drop.",No,3,0
Shore Up,Ground,Status,0,0,5,The user regains up to half of its max HP. It restores more HP in a sandstorm.,"The user regains up to half of its max HP. It restores more HP in a sandstorm.ChangesInGenerations 7-8,Shore Uphas 10 PP.Z-Move effectsWhen a Pokémon is holdingGroundium Zand uses its Z-Power,Shore Upturns intoZ-Shore Upand eliminates any stat drops applied to the user, in addition to its usual effect as above.",No,7,0
Signal Beam,Bug,Special,75,100,15,May confuse opponent.,Signal Beamdeals damage and has a 10% chance ofconfusingthe target.,No,3,0
Silk Trap,Bug,Status,0,0,10,Protects the user and lowers opponent's Speed on contact.,Protects the user and lowers opponent's Speed on contact.,No,9,4
Silver Wind,Bug,Special,60,100,5,May raise all stats of user at once.,"Silver Winddeals damage and has a 10% chance of raising the user's Attack, Defense, Special Attack, Special DefenseandSpeed by one stage each.",No,3,0
Simple Beam,Normal,Status,0,100,15,Changes target's ability to Simple.,Simple Beamchanges the target's ability toSimple.,No,5,0
Sing,Normal,Status,0,55,15,Puts opponent to sleep.,"Singputs the target to sleep, if it hits. Sleeping Pokémon cannot move (with some exceptions such asSnore). Sleep lasts for 1-3 turns.",No,1,0
Sinister Arrow Raid,Ghost,Physical,180,0,1,Decidueye-exclusive Z-Move.,Sinister Arrow Raidis a Ghost type Z-move exclusive toDecidueye. It is used with Decidueye's signature moveSpirit Shackle.,No,7,0
Sizzly Slide,Fire,Physical,90,100,15,Burns the opponent.,Sizzly Slidedeals damage and burns the opponent.,Yes,7,0
Sketch,Normal,Status,0,0,1,Permanently copies the opponent's last move.,"Permanently copies the opponent's last move.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Sketchturns intoZ-Sketchand raises all stats one stage each, in addition to its usual effect as above.",No,2,0
Skill Swap,Psychic,Status,0,0,10,The user swaps Abilities with the opponent.,"The user swaps Abilities with the opponent.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Skill Swapturns intoZ-Skill Swapand raises Speed one stage, in addition to its usual effect as above.",No,3,0
Skitter Smack,Bug,Physical,70,90,10,Lowers opponent's Sp. Attack.,The user skitters behind the target to attack. This also lowers the target’s Sp. Atk stat.,Yes,8,0
Skull Bash,Normal,Physical,130,100,10,"Raises Defense on first turn, attacks on second.","The user ofSkull Bashwilltuck in its headon the first turn and raise its Defense by one stage. On the second turn,Skull Bashdeals damage.",Yes,1,0
Sky Attack,Flying,Physical,140,90,5,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.","The user ofSky Attackwillbecome cloaked in a harsh lighton the first turn. On the second turn,Sky Attackdeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).. It also has an increased critical hit ratio (1⁄8instead of1⁄24).",No,1,0
Sky Drop,Flying,Physical,60,100,10,"Takes opponent into the air on first turn, drops them on second turn.","Sky Droptakes the target into the air on the first turn, then drops them on the second turn, wherein they receive damage.",Yes,5,0
Sky Uppercut,Fighting,Physical,85,90,15,"Hits the opponent, even during Fly.","Sky Uppercutdeals damage and can hit Pokémon during the invulnerable stage ofBounce,FlyorSky Drop.",Yes,3,0
Slack Off,Normal,Status,0,0,5,User recovers half its max HP.,Slack Offrecovers up to 50% of the user's maximum HP.,No,3,0
Slam,Normal,Physical,80,75,20,,Slamdeals damage with no additional effect.,Yes,1,0
Slash,Normal,Physical,70,100,20,High critical hit ratio.,Slashdeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,Yes,1,0
Sleep Powder,Grass,Status,0,75,15,Puts opponent to sleep.,"Sleep Powderputs the target to sleep, if it hits. Sleeping Pokémon cannot move (with some exceptions such asSnore). Sleep lasts for 1-3 turns.",No,1,0
Sleep Talk,Normal,Status,0,0,10,User performs one of its own moves while sleeping.,"User performs one of its own moves while sleeping.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Sleep Talkturns intoZ-Sleep Talkand raises critical-hit ratio one stage, in addition to its usual effect as above.",No,2,0
Sludge,Poison,Special,65,100,20,May poison opponent.,Sludgedeals damage and has a 30% chance of poisoning the target.,No,1,0
Sludge Bomb,Poison,Special,90,100,10,May poison opponent.,Sludge Bombdeals damage and has a 30% chance of poisoning the target.,No,2,0
Sludge Wave,Poison,Special,95,100,10,May poison opponent.,Sludge Wavedeals damage and has a 10% chance of poisoning the target.,No,5,0
Smack Down,Rock,Physical,50,100,15,Makes Flying-type Pokémon vulnerable to Ground moves.,"Smack Downdeals damage and knocks the target to the ground. AnyraisedPokémon now become susceptible toGroundmoves andArena Trap. Raised Pokémon are anyFlyingtypes or those under the effects ofLevitate,Magnet RiseorTelekinesis. Full details inglossary.",No,5,0
Smart Strike,Steel,Physical,70,0,10,The user stabs the target with a sharp horn. This attack never misses.,"The user stabs the target with a sharp horn. This attack never misses.Z-Move effectsWhen a Pokémon is holdingSteelium Zand uses its Z-Power,Smart Striketurns intoCorkscrew Crashand has base power140.",Yes,7,0
Smelling Salts,Normal,Physical,70,100,10,"Power doubles if opponent is paralyzed, but cures it.","Smelling Saltsdeals damage, and hits with double power (140) if the target is paralyzed. However, it also cures the paralysis.",Yes,3,0
Smog,Poison,Special,30,70,20,May poison opponent.,Smogdeals damage and has a 40% chance of poisoning the target.,No,1,0
Smokescreen,Normal,Status,0,100,20,Lowers opponent's Accuracy.,Smokescreenlowers the target's Accuracy by one stage.,No,1,0
Snap Trap,Grass,Physical,35,100,15,"Traps opponent, damaging them for 4-5 turns.","Traps opponent, damaging them for 4-5 turns.							(100% chance)",Yes,8,0
Snarl,Dark,Special,55,95,15,Lowers opponent's Special Attack.,Snarldeals damage and lowers the target's Special Attack by one stage.,No,5,0
Snatch,Dark,Status,0,0,10,Steals the effects of the opponent's next move.,"Snatchmoves first and steals the effects of the next status move used by the opponent(s) in that turn. If two or more Pokémon useSnatch, the slowest of the Pokémon will gain the effect, because the fastest Pokémon will steal the move first, then the next slowest will steal the move from the snatcher and so on.",No,3,4
Snipe Shot,Water,Special,80,100,15,Ignores moves and abilities that draw in moves. High critical hit ratio.,Ignores moves and abilities that draw in moves. High critical hit ratio.,No,8,0
Snore,Normal,Special,50,100,15,Can only be used if asleep. May cause flinching.,"Snoredeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved). However, it can only be used while the user is asleep (either from a move likeHypnosisor self-induced viaRest).",No,2,0
Snowscape,Ice,Status,0,0,10,Raises Defense of Ice types for 5 turns.,Raises Defense of Ice types for 5 turns.,No,9,0
Soak,Water,Status,0,100,20,Changes the target's type to water.,Soakchanges the target's type toWater. It does not work on Pokémon with the abilityMultitype.,No,5,0
Soft-Boiled,Normal,Status,0,0,5,User recovers half its max HP.,Soft-Boiledrecovers up to 50% of the user's maximum HP.,No,1,0
Solar Beam,Grass,Special,120,100,10,"Charges on first turn, attacks on second.","The user ofSolar Beamwillabsorb lighton the first turn. On the second turn,Solar Beamdeals damage.",No,1,0
Solar Blade,Grass,Physical,125,100,10,"Charges on first turn, attacks on second.","The user ofSolar Bladewillabsorb lighton the first turn. On the second turn,Solar Bladedeals damage.",Yes,7,0
Sonic Boom,Normal,Special,0,90,20,Always inflicts 20 HP.,"Sonic Boomalways deals 20 HP damage to the target, regardless of typing (althoughGhosttype Pokémon are still immune). It has no additional effect.",No,1,0
Soul-Stealing 7-Star Strike,Ghost,Physical,195,0,1,Marshadow-exclusive Z-Move.,Soul-Stealing 7-Star Strikeis a Ghost type Z-move exclusive toMarshadow. It is used with Marshadow's signature moveSpectral Thief.,Yes,7,0
Spacial Rend,Dragon,Special,100,95,5,High critical hit ratio.,Spacial Renddeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,No,4,0
Spark,Electric,Physical,65,100,20,May paralyze opponent.,Sparkdeals damage and has a 30% chance of paralyzing the target.,Yes,2,0
Sparkling Aria,Water,Special,90,100,10,Heals the burns of its target.,"Sparkling Ariadeals damage, and if the target is burned, heals it.",No,7,0
Sparkly Swirl,Fairy,Special,90,100,15,Cures all status problems in the party Pokémon.,Sparkly Swirldeals damage and heals all status conditions of the user's party Pokémon (similar toAromatherapy).,No,7,0
Spectral Thief,Ghost,Physical,90,100,10,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.","The user hides in the target's shadow, steals the target's stat boosts, and then attacks.Z-Move effectsWhen a Pokémon is holdingGhostium Zand uses its Z-Power,Spectral Thiefturns intoNever-Ending Nightmareand has base power175.When Marshadow is holdingMarshadium Zand uses its Z-Power,Spectral Thiefturns intoSoul-Stealing 7-Star Strikeand has base power195.",Yes,7,0
Speed Swap,Psychic,Status,0,0,10,The user exchanges Speed stats with the target.,"The user exchanges Speed stats with the target.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Speed Swapturns intoZ-Speed Swapand raises Speed one stage, in addition to its usual effect as above.",No,7,0
Spicy Extract,Grass,Status,0,∞,15,Harshly lowers the opponent's Defense and sharply raises their Attack.,Harshly lowers the opponent's Defense and sharply raises their Attack.,No,9,0
Spider Web,Bug,Status,0,0,10,Opponent cannot escape/switch.,"Opponent cannot escape/switch.Z-Move effectsWhen a Pokémon is holdingBuginium Zand uses its Z-Power,Spider Webturns intoZ-Spider Weband raises Defense one stage, in addition to its usual effect as above.",No,2,0
Spike Cannon,Normal,Physical,20,100,15,Hits 2-5 times in one turn.,"Spike Cannonhits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.",No,1,0
Spikes,Ground,Status,0,0,20,Damages opponents switching into battle.,"Spikeslays a trap of thorns around the foe, which hurts Pokémon switching in to the opposing field. It can be used up to three times to inflict more damage on incoming Pokémon, equal to a fraction of the Pokémon's HP as shown in the table.",No,2,0
Spiky Shield,Grass,Status,0,0,10,Protects the user and inflicts damage on contact.,"Spiky Shieldprevents any attacks targeted at the user from striking, for the duration of the turn. If a contact move is targeted at theSpiky Shielduser on that turn, the attacker receives damage of1⁄8their maximum HP. It has priority +4 so will activate before most other moves.",No,6,4
Spin Out,Steel,Physical,100,100,5,Harshly lowers user’s Speed.,Harshly lowers user’s Speed.,Yes,9,0
Spirit Break,Fairy,Physical,75,100,15,Lowers opponent's Special Attack.,Spirit Breakdeals damage and lowers the target's Special Attack by one stage. Stats can be lowered to a minimum of -6 stages each.,Yes,8,0
Spirit Shackle,Ghost,Physical,80,100,10,Prevents the opponent from switching out.,"Spirit Shackledeals damage and prevents the target from switching out, while the user remains in battle.",No,7,0
Spit Up,Normal,Special,0,100,10,Power depends on how many times the user performed Stockpile.,"Spit Updeals varying damage depending on how many times the user usedStockpile. The base power is 100, 200 or 300 if the user stockpiled one, two or three times respectively.",No,3,0
Spite,Ghost,Status,0,100,10,The opponent's last move loses 2-5 PP.,"The opponent's last move loses 2-5 PP.Z-Move effectsWhen a Pokémon is holdingGhostium Zand uses its Z-Power,Spiteturns intoZ-Spiteand fully restores the user's HP, in addition to its usual effect as above.",No,2,0
Splash,Normal,Status,0,0,40,Doesn't do ANYTHING.,"Doesn't do ANYTHING.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Splashturns intoZ-Splashand raises Attack three stages, in addition to its usual effect as above.",No,1,0
Splintered Stormshards,Rock,Physical,190,0,1,Lycanroc-exclusive Z-Move.,Splintered Stormshardsis a Rock-type Z-Move exclusive toLycanroc. It is used withStone Edge.,No,7,0
Splishy Splash,Water,Special,90,100,15,May paralyze opponent.,Splishy Splashdeals damage and has a 30% chance to paralyze the target.,No,7,0
Spore,Grass,Status,0,100,15,Puts opponent to sleep.,Sporeputs the target to sleep. Sleeping Pokémon cannot move (with some exceptions such asSnore). Sleep lasts for 1-3 turns.,No,1,0
Spotlight,Normal,Status,0,0,15,The user shines a spotlight on the target so that only the target will be attacked during the turn.,"The user shines a spotlight on the target so that only the target will be attacked during the turn.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Spotlightturns intoZ-Spotlightand raises Special Defense one stage, in addition to its usual effect as above.",No,7,3
Springtide Storm,Fairy,Special,100,80,5,"Boosts user's stats in Incarnate Forme, or lowers opponent's stats in Therian Forme.",Springtide Stormdeals damage and has a 30% chance of lowering the target's Attack by one stage. The move targets both opponents in a double battle (each with a 30% chance of lowering Attack).,No,8,0
Stealth Rock,Rock,Status,0,0,20,Damages opponents switching into battle.,"Stealth Rocklays a trap of stones around the foe, which hurts Pokémon switching in to the opposing field. The rocks inflict variable damage — a fraction of the Pokémon's maximum HP, based on its susceptibility to theRocktype, as shown in the table.",No,4,0
Steam Eruption,Water,Special,110,95,5,May burn opponent.,Steam Eruptiondeals damage and has a 30% chance of burning the target.,No,6,0
Steamroller,Bug,Physical,65,100,20,May cause flinching.,Steamrollerdeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).,Yes,5,0
Steel Beam,Steel,Special,140,95,5,User loses 50% of its HP.,Steel Beamdeals damage but the user loses 50% of its HP.,No,8,0
Steel Roller,Steel,Physical,130,100,5,Fails if no Terrain in effect.,The user attacks while destroying the terrain. This move fails when the ground hasn’t turned into a terrain.,Yes,8,0
Steel Wing,Steel,Physical,70,90,25,May raise user's Defense.,Steel Wingdeals damage and has a 10% chance of raising the user's Defense by one stage.,Yes,2,0
Sticky Web,Bug,Status,0,0,20,Lowers opponent's Speed when switching into battle.,"Sticky Websets up a sticky net around the opposing team, which lowers the Speed of Pokémon switching into battle by one stage.",No,6,0
Stockpile,Normal,Status,0,0,20,Stores energy for use with Spit Up and Swallow.,"Stockpileraises the user's Defense and Special Defense by one stage each andcharges up powerfor use with companion movesSpit UporSwallow.Stockpilecan be used up to three times before its companion moves, which will attack or recover HP respectively.",No,3,0
Stoked Sparksurfer,Electric,Special,175,0,1,Alolan Raichu-exclusive Electric type Z-Move.,Stoked Sparksurferis an Electric type Z-Move exclusive toAlolan Raichu. It is used withThunderbolt.,No,7,0
Stomp,Normal,Physical,65,100,20,May cause flinching.,Stompdeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).,Yes,1,0
Stomping Tantrum,Ground,Physical,75,100,10,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.","Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.Z-Move effectsWhen a Pokémon is holdingGroundium Zand uses its Z-Power,Stomping Tantrumturns intoTectonic Rageand has base power140.",Yes,7,0
Stone Axe,Rock,Physical,65,90,15,Sets up Stealth Rock.,"Stone Axedeals damage and scatters sharp rocks around the opposing field, likeStealth Rock, which damage opponents switching into battle.",Yes,8,0
Stone Edge,Rock,Physical,100,80,5,High critical hit ratio.,Stone Edgedeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,No,4,0
Stored Power,Psychic,Special,20,100,10,Power increases when user's stats have been raised.,"Stored Powerdeals varying damage based on the user's stat increases. It starts at base power 20 and increases by 20 for each net stat boost the user has received, including Evasion and Accuracy. In other words the power is:",No,5,0
Storm Throw,Fighting,Physical,60,100,10,Always results in a critical hit.,"Storm Throwdeals damage and always results in a critical hit, increasing its power to90.",Yes,5,0
Strange Steam,Fairy,Special,90,95,10,May confuse opponent.,May confuse opponent.							(20% chance),No,8,0
Strength,Normal,Physical,80,100,15,,Strengthdeals damage with no additional effect in battle.,Yes,1,0
Strength Sap,Grass,Status,0,100,10,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,"The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.							(100% chance)Z-Move effectsWhen a Pokémon is holdingGrassium Zand uses its Z-Power,Strength Sapturns intoZ-Strength Sapand raises Defense one stage, in addition to its usual effect as above.",No,7,0
String Shot,Bug,Status,0,95,40,Sharply lowers opponent's Speed.,String Shotlowers the target's Speed by two stages.,No,1,0
Struggle,Normal,Physical,50,0,0,Only usable when all PP are gone. Hurts the user.,"Only usable when all PP are gone. Hurts the user.ChangesInGenerations 1-3,Strugglehas 100% accuracy.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Struggleturns intoBreakneck Blitzand has base power1.",Yes,1,0
Struggle Bug,Bug,Special,50,100,20,Lowers opponent's Special Attack.,Struggle Bugdeals damage and lowers the target's Special Attack by one stage.,No,5,0
Stuff Cheeks,Normal,Status,0,0,10,"The user eats its held Berry, then sharply raises its Defense stat.","The user eats its held Berry, then sharply raises its Defense stat.							(100% chance)",No,8,0
Stun Spore,Grass,Status,0,75,30,Paralyzes opponent.,"Stun Sporeparalyzes the target, if it hits. Paralyzed Pokémon have a 25% chance of not being able to attack, and their Speed is decreased by 50% (75% inGenerations 1-6).",No,1,0
Submission,Fighting,Physical,80,80,20,User receives recoil damage.,"Submissiondeals damage, but the user receives1⁄4of the damage it inflicts in recoil. In other words, if the attack does 100 HP damage to the opponent, the user will lose 25 HP.",Yes,1,0
Substitute,Normal,Status,0,0,10,Uses HP to creates a decoy that takes hits.,"Uses HP to creates a decoy that takes hits.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Substituteturns intoZ-Substituteand eliminates any stat drops applied to the user, in addition to its usual effect as above.",No,1,0
Subzero Slammer,Ice,0,0,0,1,Ice type Z-Move.,"Subzero Slammeris the Ice type Z-Move, introduced in Pokémon Sun/Moon.",No,7,0
Sucker Punch,Dark,Physical,70,100,5,"User attacks first, but only works if opponent is readying an attack.","Sucker Punchdeals damage and has a priority of +1. However, the move only works if the target uses a direct attack in the same turn. If the target is not preparing an attack,Sucker Punchwill fail.",Yes,4,1
Sunny Day,Fire,Status,0,0,5,Makes it sunny for 5 turns.,"Sunny Daycauses bright sunlight that lasts for 5 turns, and induces these additional effects:",No,2,0
Sunsteel Strike,Steel,Physical,100,100,5,Ignores the target's ability.,"Ignores the target's ability.Z-Move effectsWhen a Pokémon is holdingSteelium Zand uses its Z-Power,Sunsteel Striketurns intoCorkscrew Crashand has base power180.When Solgaleo or Dusk Mane Necrozma is holdingSolganium Zand uses its Z-Power,Sunsteel Striketurns intoSearing Sunraze Smashand has base power200.",Yes,7,0
Super Fang,Normal,Physical,0,90,10,Always takes off half of the opponent's HP.,"Always takes off half of the opponent's HP.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Super Fangturns intoBreakneck Blitzand has base power100.",Yes,1,0
Supercell Slam,Electric,Physical,100,95,15,,"The user electrifies its body and drops onto the target to inflict damage. If this move misses, the user takes damage instead.",No,9,0
Superpower,Fighting,Physical,120,100,5,Lowers user's Attack and Defense.,Superpowerdeals damage but lowers the user's Attack and Defense by one stage each after attacking.,Yes,3,0
Supersonic,Normal,Status,0,55,20,Confuses opponent.,"Supersoniccauses the target to become confused. Confused Pokémon have a 33% chance of hurting themselves each turn, for 1-4 attacking turns (50% chance inGenerations 1-6). The damage received is as if the Pokémon attacks itself with a typeless 40 base power Physical attack.",No,1,0
Supersonic Skystrike,Flying,0,0,0,1,Flying type Z-Move.,"Supersonic Skystrikeis the Flying type Z-Move, introduced in Pokémon Sun/Moon.",No,7,0
Surf,Water,Special,90,100,15,Hits all adjacent Pokémon.,Surfdeals damage. In double battles it will hit all Pokémon on the field; in triple battles it will hit all adjacent Pokémon.,No,1,0
Surging Strikes,Water,Physical,25,100,5,Always results in a critical hit and ignores stat changes.,Always results in a critical hit and ignores stat changes.,Yes,8,0
Swagger,Normal,Status,0,85,15,"Confuses opponent, but sharply raises its Attack.",Swaggerconfuses the target and raises its Attack by two stages.,No,2,0
Swallow,Normal,Status,0,0,10,"The more times the user has performed Stockpile, the more HP is recovered.","Swallowrecovers a varying amount of HP depending on how many times the user has usedStockpile. It recovers 25%, 50% or 100% of the user's maximum HP if the user stockpiled one, two or three times respectively.",No,3,0
Sweet Kiss,Fairy,Status,0,75,10,Confuses opponent.,"Sweet Kisscauses the target to become confused. Confused Pokémon have a 33% chance of hurting themselves each turn, for 1-4 attacking turns (50% chance inGenerations 1-6). The damage received is as if the Pokémon attacks itself with a typeless 40 base power Physical attack.",No,2,0
Sweet Scent,Normal,Status,0,100,20,Lowers opponent's Evasiveness.,Sweet Scentlowers the target's Evasion by one stage.,No,2,0
Swift,Normal,Special,60,∞,20,Ignores Accuracy and Evasiveness.,"Swiftdeals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage ofBounce,Dig,Dive,Fly,Phantom Force,Shadow ForceorSky Drop.",No,1,0
Switcheroo,Dark,Status,0,100,10,Swaps held items with the opponent.,"Switcherooswitches held items with the target. It does not require both Pokémon to be holding an item, in which case the item is simply given to the target or received from it.",No,4,0
Swords Dance,Normal,Status,0,0,20,Sharply raises user's Attack.,Swords Danceraises the user's Attack by two stages.,No,1,0
Synchronoise,Psychic,Special,120,100,10,Hits any Pokémon that shares a type with the user.,"Synchronoisehits all adjacent Pokémon that share a type with the user. Dual type Pokémon match either of their types, so for example a Normal/Flying Pokémon usingSynchronoisewill hit a Flying/Dragon type.",No,5,0
Synthesis,Grass,Status,0,0,5,User recovers HP. Amount varies with the weather.,"User recovers HP. Amount varies with the weather.Z-Move effectsWhen a Pokémon is holdingGrassium Zand uses its Z-Power,Synthesisturns intoZ-Synthesisand eliminates any stat drops applied to the user, in addition to its usual effect as above.",No,2,0
Syrup Bomb,Grass,Special,60,85,10,Lowers opponent's Speed each turn for 3 turns.,Lowers opponent's Speed each turn for 3 turns.,No,9,0
Tachyon Cutter,Steel,Special,50,∞,10,Guaranteed to hit twice in a row.,Guaranteed to hit twice in a row.,No,9,0
Tackle,Normal,Physical,40,100,35,,Tackleis one of the most common and basic moves a Pokémon learns. It deals damage with no additional effects.,Yes,1,0
Tail Glow,Bug,Status,0,0,20,Drastically raises user's Special Attack.,Tail Glowraises the user's Special Attack by three stages.,No,3,0
Tail Slap,Normal,Physical,25,85,10,Hits 2-5 times in one turn.,"Tail Slaphits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.",Yes,5,0
Tail Whip,Normal,Status,0,100,30,Lowers opponent's Defense.,Tail Whiplowers the target's Defense by one stage.,No,1,0
Tailwind,Flying,Status,0,0,15,Doubles Speed for 4 turns.,Tailwinddoubles the speed of all Pokémon in the user's party for 4 turns.,No,4,0
Take Down,Normal,Physical,90,85,20,User receives recoil damage.,"Take Downdeals damage, but the user receives1⁄4of the damage it inflicted in recoil. In other words, if the attack does 100 HP damage to the opponent, the user will lose 25 HP.",Yes,1,0
Take Heart,Psychic,Status,0,0,10,Heals user's status conditions and raises its stats.,"Take Heartheals the user's status conditions, and raises the user's Special Attack and Special Defense by one stage each.",No,8,0
Tar Shot,Rock,Status,0,100,15,Lowers the opponent's Speed and makes them weaker to Fire-type moves.,Lowers the opponent's Speed and makes them weaker to Fire-type moves.							(100% chance),No,8,0
Taunt,Dark,Status,0,100,20,Opponent can only use moves that attack.,Tauntprevents the target from using Status-category moves for three turns.,No,3,0
Tearful Look,Normal,Status,0,0,20,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,"The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.							(100% chance)Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Tearful Lookturns intoZ-Tearful Lookand raises Defense one stage, in addition to its usual effect as above.",No,7,0
Teatime,Normal,Status,0,0,10,Forces all Pokémon on the field to eat their berries.,Forces all Pokémon on the field to eat their berries.,No,8,0
Techno Blast,Normal,Special,120,100,5,Type depends on the Drive being held.,Techno Blastdeals damage. Its type changes depending on the held Drive:,No,5,0
Tectonic Rage,Ground,0,0,0,1,Ground type Z-Move.,"Tectonic Rageis the Ground type Z-Move, introduced in Pokémon Sun/Moon.",No,7,0
Teeter Dance,Normal,Status,0,100,20,Confuses all Pokémon.,Teeter Dancecauses all adjacent Pokémon to become confused. In single battles this is simply the opponent; in double/triple battles it includes all adjacent opponents and teammate(s).,No,3,0
Telekinesis,Psychic,Status,0,0,15,"Ignores opponent's Evasiveness for three turns, add Ground immunity.","Telekinesisraises the target into the air for three turns, guaranteeing that all attacks against the target (except OHKO moves) will hit, regardless of Accuracy or Evasion.",No,5,0
Teleport,Psychic,Status,0,0,20,Allows user to flee wild battles; also warps player to last PokéCenter.,"In Pokémon Let's Go Pikachu/Eevee and Pokémon Sword/Shield,Teleportswitches the user out.",No,1,-6
Temper Flare,Fire,Physical,75,100,10,,"Spurred by desperation, the user attacks the target. This move’s power is doubled if the user’s previous move failed.",No,9,0
Tera Blast,Normal,Special,80,100,10,Changes type when the user has Terastallized.,"Tera Blastdeals damage, and its type changes to the user's Tera Type, when the Pokémon is Terastallized.",No,9,0
Tera Starstorm,Normal,Special,120,100,5,,"With the power of its crystals, the user bombards and eliminates the target. When used by Terapagos in its Stellar Form, this move damages all opposing Pokémon.",No,9,0
Terrain Pulse,Normal,Special,50,100,10,Type and power change depending on the Terrain in effect.,The user utilizes the power of the terrain to attack. This move’s type and power changes depending on the terrain when it’s used.,No,8,0
Thief,Dark,Physical,60,100,25,Also steals opponent's held item.,"Thiefdeals damage and steals the target's held item, if the user is not holding an item.",Yes,2,0
Thousand Arrows,Ground,Physical,90,100,10,Makes Flying-type Pokémon vulnerable to Ground moves.,"Thousand Arrowsdeals damage and knocks the target(s) to the ground. AnyraisedPokémon now become susceptible toGroundmoves andArena Trap. Raised Pokémon are anyFlyingtypes or those under the effects ofLevitate,Magnet RiseorTelekinesis. Full details inglossary.",No,6,0
Thousand Waves,Ground,Physical,90,100,10,Opponent cannot flee or switch.,"Thousand Wavesdeals damage and prevents the target(s) from fleeing or switching out, as long as the user remains in battle.",No,6,0
